ROC_AUC,PR_AUC_active,PR_AUC_inactive,MCC,BalancedAcc,Recall_active,Recall_inactive,Precision_active,Precision_inactive,Brier,threshold,TN,FP,FN,TP,model,fold,split
0.9455128205128205,0.9958626590330587,0.6973972491537462,0.5454801602633343,0.6538461538461539,1.0,0.3076923076923077,0.967032967032967,1.0,0.02636233326438222,0.5,8,18,0,528,RF_inactive_weight_1,8,Validation
0.8226680515726963,0.9872848784746019,0.3782266074649845,0.30574810065813934,0.566029534626414,0.9977307110438729,0.13432835820895522,0.9578794480755265,0.75,0.03706378794846544,0.5,9,58,3,1319,RF_inactive_weight_1,8,Test
0.9992733567338083,0.9999634072050075,0.9852306815988783,0.797322802212214,0.8295597956665162,0.999368553988634,0.6597510373443983,0.9830227743271222,0.9814814814814815,0.011159167998207823,0.5,159,82,3,4748,RF_inactive_weight_1,9,Train
0.9767376484644037,0.9987142097162821,0.8559095358923956,0.6853607370516093,0.7583104926558437,0.9981024667931688,0.5185185185185185,0.9758812615955473,0.9333333333333333,0.017594376655020012,0.5,14,13,1,526,RF_inactive_weight_1,9,Validation
0.8146182852755887,0.9863059667768495,0.3946152525940168,0.32707217951487605,0.5734922211935782,0.9977307110438729,0.14925373134328357,0.9585755813953488,0.7692307692307693,0.03667651085742127,0.5,10,57,3,1319,RF_inactive_weight_1,9,Test
0.9993537067103585,0.999967471931557,0.9867230768980545,0.7973728388657064,0.8256209000769439,0.9997895179962113,0.6514522821576764,0.9826230864708316,0.9936708860759493,0.011066847602579668,0.5,157,84,1,4750,RF_inactive_weight_1,10,Train
0.9668283083842856,0.9977327039359671,0.7956773042639086,0.5360276059816063,0.665717900063251,0.9981024667931688,0.3333333333333333,0.9669117647058824,0.9,0.02395762577043465,0.5,9,18,1,526,RF_inactive_weight_1,10,Validation
0.8211213222841918,0.9849152858676088,0.4114692651955736,0.3210561071767087,0.5664077494524352,0.9984871406959153,0.13432835820895522,0.9579100145137881,0.8181818181818182,0.03628430632449643,0.5,9,58,2,1320,RF_inactive_weight_1,10,Test
0.9993920069884255,0.9999694181609694,0.9873251068389133,0.8636433839448364,0.8854710635509937,0.9991578947368421,0.7717842323651453,0.9885440533222245,0.9789473684210527,0.009246759049659926,0.5,186,55,4,4746,RF_inactive_weight_2,1,Train
0.9547558922558923,0.996738588967223,0.8738658301780975,0.7113780562828547,0.7592592592592593,1.0,0.5185185185185185,0.9759704251386322,1.0,0.01783915437785438,0.5,14,13,0,528,RF_inactive_weight_2,1,Validation
