fingerprint_bit,importance
1481,0.0004906471295759332
155,0.0004898762936815894
408,0.0004894141084410537
812,0.0004862521276198545
771,0.00048585159603346475
75,0.00048341888251983813
2042,0.00048220524988699216
1434,0.00047916718213949176
817,0.0004773788237020004
1811,0.00047535113135744315
595,0.0004723819906775602
1045,0.00047217826042679647
638,0.00047109072311274326
1733,0.00047055508416172994
309,0.0004681942172004197
18,0.00046691003561034005
569,0.0004667881546843542
1324,0.0004640696099889172
554,0.00046321781151770555
1308,0.00046020925913959016
1167,0.0004585034963591953
994,0.00045786650437896684
2028,0.0004576723229881731
800,0.0004558686478474153
488,0.0004557745126967311
1091,0.0004556290248058266
1706,0.0004555744464878464
1367,0.000455302269082873
1693,0.0004552852928903835
1504,0.000453750754434892
381,0.0004519412117106943
1496,0.0004506266496409439
1915,0.00044936195247530925
1990,0.0004491718850357507
715,0.0004489832437225612
470,0.00044809624059799296
798,0.0004467439527740993
1200,0.00044464738238249817
1677,0.0004444849622254712
412,0.000443688679205696
1432,0.00044176778767498933
235,0.0004409356102276095
1667,0.00044038314287588016
1317,0.00043737940025953564
241,0.00043698536433258833
1470,0.0004365669736599694
1230,0.00043605971406020916
1714,0.00043151601288037543
2039,0.00043149140314187936
1627,0.00043117452773218135
323,0.00042955726841002246
1169,0.0004293398207215825
413,0.00042861654592513213
364,0.0004279708589934389
88,0.0004273903120467295
1969,0.00042311213457513506
803,0.00042236646561410026
1736,0.0004208724950137778
745,0.0004206654620701744
932,0.00041906486979774704
1058,0.00041864982177405077
1302,0.0004167307786153395
1831,0.00041413132116779417
1035,0.00041364126084486304
1569,0.00041113838704896023
843,0.00041090499665507105
1731,0.0004107296949916838
1799,0.0004088491806864485
557,0.0004074820602965211
1043,0.0004074368719752364
258,0.0004047036241116335
487,0.00040394575014770443
269,0.0004037379662696981
1550,0.0004024519411139539
654,0.0004020710437944463
586,0.00040059918880886976
1155,0.0003983467698701766
1342,0.0003931649401236155
1637,0.0003930747039008123
1313,0.00039125240158661105
1157,0.0003890989365766597
497,0.0003889722502300185
1275,0.00038882829282522986
769,0.00038848962040653496
1778,0.000388292449660049
1238,0.00038676015827210646
624,0.0003863235813789716
1809,0.00038584792844261075
409,0.00038416387429186024
1960,0.0003839815236668301
50,0.00038328502765873633
171,0.00038324193045226036
1475,0.0003772777417127539
1843,0.00037698162824086696
1603,0.00037634947131136564
601,0.00037480472506003546
489,0.0003730207201602099
1256,0.0003727825182264397
227,0.0003727559245124363
666,0.0003719872941203268
1362,0.0003694591981292791
1307,0.0003691020294241633
1548,0.00036868311764274973
1570,0.00036625654086616796
65,0.0003653544995510719
1575,0.0003652530289342254
582,0.00036374324606238203
1437,0.00036365353126311414
940,0.0003631155865508011
1975,0.0003618200233792002
1051,0.0003615571282298053
117,0.00036070734144250176
1669,0.00036059651723421295
1390,0.00035952317572620094
1673,0.00035925096061975803
1528,0.0003582139366899642
1468,0.0003572131471373931
637,0.0003546648562935096
1110,0.0003544790958076761
217,0.0003536485213825164
1648,0.00035161894199932007
1013,0.0003507670796462238
346,0.00035006596544390797
1984,0.00034771917621027784
1172,0.00034627955531663687
1273,0.00034508597678467747
72,0.0003434937043853383
883,0.0003425163553282481
1299,0.00034203332263941225
1982,0.0003413635258401269
978,0.00034132011412689456
251,0.00034089256607085656
877,0.0003386409220343006
1632,0.000337664432078484
1409,0.00033746313464834405
1054,0.0003362825548986432
1473,0.0003361421902983129
386,0.00033613918751385167
908,0.0003348615353856984
353,0.0003347665514020247
1265,0.0003346649296273899
942,0.0003342670763876228
1934,0.0003340072403658718
42,0.0003312244613104541
1552,0.00032965280767507504
570,0.00032850084768240443
1837,0.00032700642483828187
368,0.000326791502531884
504,0.00032566652416129874
501,0.00032556911171729215
122,0.0003252598177540193
912,0.00032418386646335904
1285,0.00032153705194828524
1878,0.0003204873690677032
1507,0.0003199452475922525
548,0.0003193083204427592
1096,0.00031920734112650645
1129,0.0003179048200359053
31,0.0003173035627280079
606,0.00031625705724225577
1724,0.0003159446137923069
630,0.0003154860118140883
1128,0.0003140475420939009
1356,0.00031073580133113336
916,0.0003095850989649786
59,0.00030949739367428604
575,0.0003063859173412041
4,0.0003060779223983705
1755,0.00030535584025127036
220,0.0003050465955530439
430,0.0003040626350925588
558,0.00030395289118605526
1578,0.00030105969358062875
433,0.00030095826710543856
359,0.0002988571048037295
